bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
5534,Rueyres,VD,236,0.038835,8,2024-09-30,0,,2024-10-21,0.241516,1402,2024-10-07,0.4,26,39,78,0.871951,2024-10-04,5.4853,2.036,1797,667,2023-09-01,2024-08-31,80.6563,26423,0,1082,0,25341,0,2023-10-01,2024-09-30
5535,Saint-Barthélemy (VD),VD,237,0.057554,32,2024-09-30,0,,2024-10-21,0.084326,644,2024-10-07,0.192513,36,151,145,0.965116,2024-10-24,3.3496,1.8214,2742,1491,2023-09-01,2024-08-31,0.5668,464,0,464,0,0,0,2023-10-01,2024-09-30
5537,Villars-le-Terroir,VD,227,0.026411,22,2024-09-30,0,,2024-10-21,0.100258,1283,2024-10-07,0.315789,90,195,182,0.985232,2024-10-24,2.7388,1.8522,3710,2509,2023-09-01,2024-08-31,0.6925,938,0,938,0,0,0,2023-10-01,2024-09-30
5539,Vuarrens,VD,235,0.041725,30,2024-09-30,0,,2024-10-21,0.172995,2123,2024-10-07,0.295203,80,191,153,0.963636,2024-05-30,3.0079,1.8902,3485,2190,2023-09-01,2024-08-31,1.1419,1323,0,1323,0,0,0,2023-10-01,2024-09-30
5540,Montilliez,VD,237,0.035392,47,2024-09-30,0,,2024-10-21,0.104839,2119,2024-10-28,0.250545,115,344,231,0.980114,2024-10-24,2.8872,2.0871,5633,4072,2023-09-01,2024-08-31,0.8385,1636,0,1636,0,0,0,2023-10-01,2024-09-30
5541,Goumoëns,VD,237,0.047684,35,2024-09-30,0,,2024-10-21,0.089089,1148,2024-10-07,0.303887,86,197,156,0.973392,2024-06-19,3.9549,2.0977,4734,2511,2023-09-01,2024-08-31,0.7611,911,0,911,0,0,0,2023-10-01,2024-09-30
5551,Bonvillars,VD,236,0.027174,10,2024-09-30,0,,2024-10-21,0.104175,771,2024-10-07,0.347826,56,105,98,0.928315,2024-04-23,4.6363,2.8597,2320,1431,2023-09-01,2024-08-31,1.1671,584,0,584,0,0,0,2023-10-01,2024-09-30
5552,Bullet,VD,338,0.037255,19,2024-09-30,1,19.0,2024-10-21,0.074758,781,2024-09-09,0.392371,144,223,191,0.985866,2023-11-16,6.7834,4.505,4454,2958,2023-09-01,2024-08-31,0.9153,601,0,601,0,0,0,2023-10-01,2024-09-30
5553,Champagne,VD,236,0.075835,59,2024-09-30,2,29.5,2024-10-21,0.198309,1970,2024-10-07,0.497942,121,122,131,0.949239,2024-06-21,16.2875,2.3755,17786,2594,2023-09-01,2024-08-31,1.3819,1509,0,1509,0,0,0,2023-10-01,2024-09-30
5554,Concise,VD,237,0.039416,27,2024-09-30,0,,2024-10-21,0.061513,553,2024-10-07,0.34965,100,186,300,0.962233,2024-10-04,3.8142,2.672,3847,2695,2023-09-01,2024-08-31,0.4154,419,0,419,0,0,0,2023-10-01,2024-09-30
5555,Corcelles-près-Concise,VD,235,0.05,13,2024-09-30,0,,2024-10-21,0.068999,288,2024-09-09,0.35,49,91,179,0.975535,2024-05-15,4.9234,3.3756,2058,1411,2023-09-01,2024-08-31,0.4952,207,0,207,0,0,0,2023-10-01,2024-09-30
5556,Fiez,VD,237,0.067568,20,2024-09-30,0,,2024-10-21,0.099862,505,2024-10-07,0.507692,66,64,96,0.982609,2024-10-24,3.7228,2.7399,1606,1182,2023-09-01,2024-08-31,1.2425,536,126,410,0,0,0,2023-10-01,2024-09-30
5557,Fontaines-sur-Grandson,VD,235,0.048611,7,2024-09-30,0,,2024-10-21,0.037274,105,2024-06-03,0.390625,25,39,54,1.0,2023-09-07,3.6415,2.6132,772,554,2023-09-01,2024-08-31,0.3774,80,0,80,0,0,0,2023-10-01,2024-09-30
5559,Giez,VD,236,0.030488,10,2024-09-30,0,,2024-10-21,0.139773,725,2024-09-09,0.409722,59,85,91,0.967078,2024-08-16,4.9229,3.3084,2299,1545,2023-09-01,2024-08-31,1.2334,576,0,576,0,0,0,2023-10-01,2024-09-30
