period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C2,Haushalt Standard,12.17,0,12.17,36,0,11.01,Haushalt Standard,18.14,0,18.14,36,0,18.02,0,2.3,32.61
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C6,Industrie,5.328693333333334,0,5.328693333333334,0,10.4,4.5,Industrie,18.02,0,18.02,0,0,18.02,0,2.3,25.648693333333334
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C3,Netz Professional NS,10.585315555555555,0,10.585315555555555,0,6059.64,5.337955555555555,Energie Professional 100+,18.1224,0,18.1224,0,0,18.1224,0,2.3,31.007715555555556
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C7,Netz Professional MS,8.005291737333334,0,8.005291737333334,0,197556,4.5824117373333335,Energie Professional MS,17.088541632,0,17.088541632,0,0,17.088541632,0,2.3,27.393833369333333
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C6,Netz Professional MS,8.756022222222223,0,8.756022222222223,0,48480,4.7000222222222225,Energie Professional MS,17.4824,0,17.4824,0,0,17.4824,0,2.3,28.538422222222223
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C5,Netz Professional MS,9.225853333333333,0,9.225853333333333,0,18180,4.677853333333333,Energie Professional MS,17.40816,0,17.40816,0,0,17.40816,0,2.3,28.934013333333333
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H8,Netz Basic,7.934242857142857,0,7.934242857142857,0,0,6.322242857142857,Energie Basic,19.071340476190475,0,19.071340476190475,0,0,19.071340476190475,0,2.3,29.305583333333335
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H1,Netz Basic,11.015758928571428,0,11.015758928571428,0,0,6.335758928571429,Energie Basic,19.087730654761906,0,19.087730654761906,0,0,19.087730654761906,0,2.3,32.40348958333333
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H7,Netz Basic,7.360854945054945,0,7.360854945054945,0,0,6.100854945054945,Energie Basic,18.802875824175825,0,18.802875824175825,0,0,18.802875824175825,0,2.3,28.463730769230768
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H5,Netz Basic,7.602234285714285,0,7.602234285714285,0,0,5.990234285714286,Energie Basic,18.66873238095238,0,18.66873238095238,0,0,18.66873238095238,0,2.3,28.570966666666667
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H2,Netz Basic,9.581257142857142,0,9.581257142857142,0,0,6.305257142857143,Energie Basic,19.050742857142858,0,19.050742857142858,0,0,19.050742857142858,0,2.3,30.932
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C4,Netz Professional NS,9.812744,0,9.812744,0,18178.92,5.26868,Energie Professional 100+,17.81572,0,17.81572,0,0,17.81572,0,2.3,29.928464
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H3,Netz Basic,8.105142857142857,0,8.105142857142857,0,0,5.938476190476191,Energie Basic,18.605968253968253,0,18.605968253968253,0,0,18.605968253968253,0,2.3,29.011111111111113
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C1,Netz Basic,8.3721875,0,8.3721875,0,0,6.8121875,Energie Basic,19.66546875,0,19.66546875,0,0,19.66546875,0,2.3,30.33765625
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C2,Netz Basic,7.77126,0,7.77126,0,0,6.78326,Energie Basic,19.63039,0,19.63039,0,0,19.63039,0,2.3,29.70165
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H6,Netz Basic,6.662670285714285,0,6.662670285714285,0,0,5.633070285714286,Energie Basic,18.235619714285715,0,18.235619714285715,0,0,18.235619714285715,0,2.3,27.19829
2025,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H4,Netz Basic,8.488771428571429,0,8.488771428571429,0,0,6.322104761904762,Energie Basic,19.071173015873015,0,19.071173015873015,0,0,19.071173015873015,0,2.3,29.859944444444444
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H2,Haushalt und Gewerbe Standard,15.96,0,15.96,36,0,10.38,Haushalt und Gewerbe Standard,15.64,0,15.64,36,0,14.2,0,2.3,33.9
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C2,Haushalt und Gewerbe Standard,11.56,0,11.56,36,0,10.38,Haushalt und Gewerbe Standard,14.32,0,14.32,36,0,14.2,0,2.3,28.18
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H4,Haushalt und Gewerbe Standard,14.046666666666667,0,14.046666666666667,36,0,10.6,Haushalt und Gewerbe Standard,15,0,15,36,0,14.2,0,2.3,31.346666666666668
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H1,Haushalt und Gewerbe Standard,18.66,0,18.66,36,0,10.38,Haushalt und Gewerbe Standard,16.45,0,16.45,36,0,14.2,0,2.3,37.41
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,C1,Haushalt und Gewerbe Standard,12.66,0,12.66,36,0,10.38,Haushalt und Gewerbe Standard,14.65,0,14.65,36,0,14.2,0,2.3,29.61
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H6,Haushalt und Gewerbe Standard,11.64,0,11.64,36,0,10.38,Haushalt und Gewerbe Standard,14.344,0,14.344,36,0,14.2,0,2.3,28.284
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H3,Haushalt und Gewerbe Standard,13.826666666666666,0,13.826666666666666,36,0,10.38,Haushalt und Gewerbe Standard,15,0,15,36,0,14.2,0,2.3,31.126666666666665
2025,CHE-106.948.866,Genossenschaft Licht- und Kraftwerke Glattfelden,standard,H8,Haushalt und Gewerbe Standard,12.76,0,12.76,36,0,10.38,Haushalt und Gewerbe Standard,14.68,0,14.68,36,0,14.2,0,2.3,29.74
