operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,131,Adliswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,131,Adliswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,135,Kilchberg (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,135,Kilchberg (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,136,Langnau am Albis,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,137,Oberrieden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,138,Richterswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,138,Richterswil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,139,Rüschlikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,141,Thalwil,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,141,Thalwil,"Dreikönigstrasse, Zürich",8002,ZH
Werke am Zürichsee AG (Erlenbach),www.werkezuerichsee.ch,151,Erlenbach (ZH),"Freihofstrasse, Küsnacht ZH",8700,ZH
"Gemeinde Herrliberg, Elektrizitätsversorgung",www.herrliberg.ch,152,Herrliberg,"Forchstrasse , Herrliberg",8704,ZH
"Gemeinde Herrliberg, Elektrizitätsversorgung",www.herrliberg.ch,152,Herrliberg,"Forchstrasse , Herrliberg",8704,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,153,Hombrechtikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,153,Hombrechtikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,153,Hombrechtikon,"Dreikönigstrasse, Zürich",8002,ZH
Werke am Zürichsee AG (Küsnacht),www.werkezuerichsee.ch,154,Küsnacht (ZH),"Freihofstrasse , Küsnacht",8700,ZH
Werke am Zürichsee AG (Küsnacht),www.werkezuerichsee.ch,154,Küsnacht (ZH),"Freihofstrasse , Küsnacht",8700,ZH
"Gemeinde Männedorf, Energieversorung",www.maennedorf.ch,155,Männedorf,"Saurenbachstrasse , Männedorf",8708,ZH
"Gemeinde Männedorf, Energieversorung",www.maennedorf.ch,155,Männedorf,"Saurenbachstrasse , Männedorf",8708,ZH
Infrastruktur Zürichsee AG,www.infra-z.ch,156,Meilen,"Schulhausstrasse, Meilen",8706,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,157,Oetwil am See,"Dreikönigstrasse, Zürich",8002,ZH
"Energie und Wasser, Gemeindewerke Stäfa",www.gws.ch,158,Stäfa,"Seestrasse, Stäfa",8712,ZH
"Energie und Wasser, Gemeindewerke Stäfa",www.gws.ch,158,Stäfa,"Seestrasse, Stäfa",8712,ZH
"Energie und Wasser, Gemeindewerke Stäfa",www.gws.ch,158,Stäfa,"Seestrasse, Stäfa",8712,ZH
Infrastruktur Zürichsee AG,www.infra-z.ch,159,Uetikon am See,"Schulhausstrasse, Meilen",8706,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,160,Zumikon,"Dreikönigstrasse, Zürich",8002,ZH
Werke am Zürichsee AG (Zollikon),www.werkezuerichsee.ch,161,Zollikon,"Freihofstrasse , Küsnacht",8700,ZH
Werke am Zürichsee AG (Zollikon),www.werkezuerichsee.ch,161,Zollikon,"Freihofstrasse , Küsnacht",8700,ZH
"Gemeinde Fehraltorf, Elektrizität",www.fehraltorf.ch,172,Fehraltorf,"Kempttalstrasse , Fehraltorf",8320,ZH
"Gemeinde Fehraltorf, Elektrizität",www.fehraltorf.ch,172,Fehraltorf,"Kempttalstrasse , Fehraltorf",8320,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,173,Hittnau,"Dreikönigstrasse, Zürich",8002,ZH
EW Lindau AG,www.ewlindau.ch,176,Lindau,"Kempttalerweg, Winterberg ZH",8312,ZH
EW Lindau AG,www.ewlindau.ch,176,Lindau,"Kempttalerweg, Winterberg ZH",8312,ZH
EW Lindau AG,www.ewlindau.ch,176,Lindau,"Kempttalerweg, Winterberg ZH",8312,ZH
EW Lindau AG,www.ewlindau.ch,176,Lindau,"Kempttalerweg, Winterberg ZH",8312,ZH
Gemeindewerke Pfäffikon ZH,www.gwpzh.ch,177,Pfäffikon,"Schanzweg, Pfäffikon ZH",8330,ZH
Gemeindewerke Pfäffikon ZH,www.gwpzh.ch,177,Pfäffikon,"Schanzweg, Pfäffikon ZH",8330,ZH
Gemeindewerke Pfäffikon ZH,www.gwpzh.ch,177,Pfäffikon,"Schanzweg, Pfäffikon ZH",8330,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,178,Russikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,178,Russikon,"Dreikönigstrasse, Zürich",8002,ZH
